Value Translation_String
0 0
11111111110000000000000000000000000000000000000000000000000000 1
100000000001000000000000000000000000000000000000000000000000000 3
100000000000000000000000000000000000000000000000000000000000000 3
100000000100000000000000000000000000000000000000000000000000000 8
111111100000000000000000000000 1
1000000010000000000000000000000 3
100000001000000000000000000000000111111100000000000000000000000 3_1
1000000100000000000000000000000 4
1000000101000000000000000000000 5
100000010100000000000000000000001000000100000000000000000000000 5_4
1000000000000000000000000000000 2
100000001000000000000000000000001000000000000000000000000000000 3_2
1000001000000000000000000000000 8
1000001001000000000000000000000 10
100000100100000000000000000000001000001000000000000000000000000 10_8
11110000000000 1
100000000000000 2
100001000000000 3
100010000000000 4
100010000000000010000100000000001000000000000000011110000000000 4_3_2_1
100011000000000 6
100100000000000 8
100100000000000010001100000000001000100000000000100001000000000 8_6_4_3
100010000000000010000100000000001000000000000000011110000000000 4_3_2_1
100100000000000010001100000000001000100000000000100000000000000 8_6_4_2
